[23:55:28] [main/INFO]: ModLauncher running: args [--username, JavaJoe, --version, forge-47.2.6, --gameDir, /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg, --assetsDir, /home/jibbo/Documents/curseforge/minecraft/Install/assets, --assetIndex, 5, --uuid, 2fc0b38173b8426b960fc1a589b261a3, --accessToken, ❄❄❄❄❄❄❄❄, --clientId, Mme/zS2FRlmnmC9ahARv2rxlW+TH7l2aiKKYUhjychkuvxGrdSRJZaRKxnXT0Oiq, --xuid, 2535450630550326, --userType, msa, --versionType, release, --width, 1024, --height, 768, --quickPlayPath, /home/jibbo/Documents/curseforge/minecraft/Install/quickPlay/java/1728618926937.json, --launchTarget, forgeclient, --fml.forgeVersion, 47.2.6, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[23:55:28] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.8 by Microsoft; OS Linux arch amd64 version 6.8.0-45-generic
[23:55:28] [main/INFO]: Loading ImmediateWindowProvider fmlearlywindow
[23:55:28] [main/INFO]: Trying GL version 4.6
[23:55:28] [main/INFO]: Requested GL version 4.6 got version 4.6
[23:55:29] [pool-2-thread-1/INFO]: GL info: AMD Radeon Graphics (radeonsi, gfx1103_r1, LLVM 17.0.6, DRM 3.57, 6.8.0-45-generic) GL version 4.6 (Core Profile) Mesa 24.0.9-0ubuntu0.1, AMD
[23:55:29] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/home/jibbo/Documents/curseforge/minecraft/Install/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%2388!/ Service=ModLauncher Env=CLIENT
[23:55:29] [main/INFO]: Found mod file AdditionalPlacements-1.20-1.8.0.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file advanced-xray-forge-1.20.1-2.18.1-build.22.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file ae2insertexportcard-1.20.1-1.3.0.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file AE2NetworkAnalyzer-1.20-1.0.6-forge.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file ae2wtlib-15.2.3-forge.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
